mode,nfe,n_seeds,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A_gauss_guided,10,1,0.09682066738605499,0.0,0.07698512077331543,0.0
B_info_guided,10,1,0.009277279488742352,0.0,0.0063416725024580956,0.0
C_info_unguided,10,1,0.01451332401484251,0.0,0.014515760354697704,0.0
A_gauss_guided,20,1,0.09576327353715897,0.0,0.07507563382387161,0.0
B_info_guided,20,1,0.009265735745429993,0.0,0.006331093609333038,0.0
C_info_unguided,20,1,0.014446179382503033,0.0,0.014438069425523281,0.0
A_gauss_guided,50,1,0.09549940377473831,0.0,0.0750645101070404,0.0
B_info_guided,50,1,0.009279873222112656,0.0,0.006317604333162308,0.0
C_info_unguided,50,1,0.01441856101155281,0.0,0.014408716931939125,0.0
A_gauss_guided,100,1,0.0953083336353302,0.0,0.07479619979858398,0.0
B_info_guided,100,1,0.009289545938372612,0.0,0.006321657914668322,0.0
C_info_unguided,100,1,0.014412689954042435,0.0,0.014402535744011402,0.0
